,order_id,price_per_unit,quantity,total_price,customer_id,payment,order_date,delivery_date,product_type,product_name,size,colour,available_in_stock,customer_name,gender,age,city,state,delivery_duration,order_seasons,month_name,Customer_Status
0,1,106,2,212,64,30811,2021-08-30,2021-09-24,Shirt,Chambray,L,orange,44,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,25,Winter,August,One-time
1,1,118,1,118,64,30811,2021-08-30,2021-09-24,Jacket,Puffer,S,indigo,62,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,25,Winter,August,One-time
2,1,96,3,288,64,30811,2021-08-30,2021-09-24,Shirt,Oxford Cloth,M,red,54,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,25,Winter,August,One-time
3,1,106,2,212,64,30811,2021-08-30,2021-09-24,Trousers,Wool,M,blue,52,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,25,Winter,August,One-time
4,1,113,3,339,64,30811,2021-08-30,2021-09-24,Jacket,Parka,S,indigo,53,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,25,Winter,August,One-time
5,1,106,3,318,64,30811,2021-08-30,2021-09-24,Trousers,Wool,S,red,65,Annabella Devote,Genderfluid,75,Sanfordborough,South Australia,25,Winter,August,One-time
6,233,106,3,318,996,29939,2021-09-03,2021-09-19,Shirt,Chambray,L,orange,44,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,16,Spring,September,Loyal
7,169,112,2,224,996,22089,2021-03-09,2021-03-12,Jacket,Cardigan,XS,yellow,46,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
8,169,96,2,192,996,22089,2021-03-09,2021-03-12,Trousers,Drawstring,L,green,43,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
9,233,119,3,357,996,29939,2021-09-03,2021-09-19,Jacket,Trench Coat,S,red,54,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,16,Spring,September,Loyal
10,169,90,2,180,996,22089,2021-03-09,2021-03-12,Trousers,Relaxed Leg,S,red,70,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
11,169,118,3,354,996,22089,2021-03-09,2021-03-12,Jacket,Puffer,L,yellow,46,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
12,169,119,2,238,996,22089,2021-03-09,2021-03-12,Jacket,Trench Coat,M,blue,46,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
13,169,91,3,273,996,22089,2021-03-09,2021-03-12,Jacket,Pullover,M,blue,44,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
14,169,98,3,294,996,22089,2021-03-09,2021-03-12,Jacket,Leather,S,red,80,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
15,169,93,1,93,996,22089,2021-03-09,2021-03-12,Trousers,Joggers,M,yellow,72,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
16,169,109,2,218,996,22089,2021-03-09,2021-03-12,Jacket,Peacoat,S,green,41,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,3,Autumn,March,Loyal
17,233,105,2,210,996,29939,2021-09-03,2021-09-19,Trousers,Pleated,S,red,78,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,16,Spring,September,Loyal
18,233,94,1,94,996,29939,2021-09-03,2021-09-19,Trousers,Cords,S,yellow,68,Elvira Sarfati,Agender,59,Lake Danielland,Tasmania,16,Spring,September,Loyal
19,924,106,2,212,786,43116,2021-04-04,2021-04-18,Shirt,Chambray,L,orange,44,Lorine McLugish,Agender,23,Graceville,New South Wales,14,Autumn,April,One-time
20,924,104,2,208,786,43116,2021-04-04,2021-04-18,Shirt,Dress,L,red,79,Lorine McLugish,Agender,23,Graceville,New South Wales,14,Autumn,April,One-time
21,924,99,1,99,786,43116,2021-04-04,2021-04-18,Trousers,High-Waisted,S,blue,75,Lorine McLugish,Agender,23,Graceville,New South Wales,14,Autumn,April,One-time
22,79,118,2,236,236,54340,2021-03-16,2021-03-25,Jacket,Puffer,S,indigo,62,Anders Couvert,Non-binary,80,East Sienna,New South Wales,9,Autumn,March,Loyal
23,356,105,2,210,236,34259,2021-04-01,2021-04-15,Trousers,Pleated,XL,green,55,Anders Couvert,Non-binary,80,East Sienna,New South Wales,14,Autumn,April,Loyal
24,178,100,1,100,236,31542,2021-02-02,2021-02-08,Jacket,Bomber,L,violet,68,Anders Couvert,Non-binary,80,East Sienna,New South Wales,6,Summer,February,Loyal
25,79,97,1,97,236,54340,2021-03-16,2021-03-25,Trousers,Slim-Fit,M,red,67,Anders Couvert,Non-binary,80,East Sienna,New South Wales,9,Autumn,March,Loyal
26,79,102,1,102,236,54340,2021-03-16,2021-03-25,Jacket,Windbreaker,XL,orange,67,Anders Couvert,Non-binary,80,East Sienna,New South Wales,9,Autumn,March,Loyal
27,79,112,3,336,236,54340,2021-03-16,2021-03-25,Trousers,Tracksuit Bottoms,XL,green,49,Anders Couvert,Non-binary,80,East Sienna,New South Wales,9,Autumn,March,Loyal
28,178,105,1,105,236,31542,2021-02-02,2021-02-08,Shirt,Cuban Collar,M,indigo,58,Anders Couvert,Non-binary,80,East Sienna,New South Wales,6,Summer,February,Loyal
29,178,90,1,90,236,31542,2021-02-02,2021-02-08,Trousers,Relaxed Leg,L,orange,78,Anders Couvert,Non-binary,80,East Sienna,New South Wales,6,Summer,February,Loyal
30,356,119,1,119,236,34259,2021-04-01,2021-04-15,Jacket,Trench Coat,M,indigo,42,Anders Couvert,Non-binary,80,East Sienna,New South Wales,14,Autumn,April,Loyal
31,356,119,3,357,236,34259,2021-04-01,2021-04-15,Shirt,Casual Slim Fit,M,yellow,76,Anders Couvert,Non-binary,80,East Sienna,New South Wales,14,Autumn,April,Loyal
